Semantic Conflict,Study Analysis Result,Commit,Project,Class,Build Manager
No,Unsupported,36884807b3cc9d660db4da062275c7fdbec8ba67,https://github.com/elastic/elasticsearch,SimpleIndexQueryParserTests,Maven
No,Merge Conflicts,59cb67c7bd0ab6311115b20954e013412b676b29,https://github.com/elastic/elasticsearch,NestedInnerQueryParseSupport,Maven
No,Unsupported,f3d63095dbcc985e24162fbac4ee0d6914dc757d,https://github.com/elastic/elasticsearch,SynonymsAnalysisTest,Maven
No,No Interference,35166168529bd27281685e56a0a122eff44460e9,https://github.com/square/okhttp,OkHttpClient,Maven
Yes,Automatically Detected,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,Python2Target.python2Keywords,Maven
Yes,Automatically Detected,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,Python3Target.python3Keywords,Maven
Yes,Detected with Adapted Test Case,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,https://github.com/CloudSlang/cloud-slang,SlangImpl.getAllEventTypes,Maven
No,No Interference,bd1f5c54752f67b484a83c26667331234234d3a3,https://github.com/Apache/Storm,KafkaSpout.emitTupleIfNotEmitted,Maven
Yes,Automatically Detected,4d9ba9d221d879507440feb084fa7521b95111ec,https://github.com/unclebob/fitnesse,SlimTableFactory (constructor),Ant
Yes,Detected with Adapted Test Case,71f622ce51031b152a0be6ad5facfb27a654bf5a,https://github.com/square/retrofit,RequestBuilder.build,Maven
Yes,Undetected,3d4f99516ba3177f7d88a1f600923138a8b77cc8,https://github.com/richardwilly98/elasticsearch-river-mongodb,Slurper.assignCollections,Maven
Yes,Detected with Adapted Test Case,a44e18aa3c1fcd25a68a5965f9490d8f7d026509,https://github.com/jhy/jsoup,TextNode.outerHtmlHead,Maven
No,No Interference,345ad9513aafff397050d613fa87ad06ddffe99d,https://github.com/Netflix/SimianArmy,BasicJanitorMonkeyContext.getInstanceJanitor,Gradle
Yes,Undetected,50d8e43eb5917c63abfbcdec1e68e510943f325a,https://github.com/Activiti/Activiti,DeploymentEntityManager.deleteDeployment,Maven
No,No Interference,05168808c278c080c59c19e858d9471b316cd1f5,https://github.com/metamx/druid,S3SegmentPusher.push,Maven
Yes,Undetected,193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,https://github.com/netty/netty,LengthFieldBasedFrameDecoder.decode,Maven
Yes,Undetected,4c506dce43775704919d084f0acfba86d251bf4a,https://github.com/opentripplanner/OpenTripPlanner,MultiShortestPathTree.dominates,Maven
No,No Interference,74d2d2b87704d003acacb34e4ca8fb5f897b938f,https://github.com/webbit/webbit,WebSocketClient$HandshakeChannelHandler.adjustPipelineToWebSocket,Maven
No,No Interference,6b09030e95e118a784ca7ec616398a4f0e384bcd,https://github.com/Netflix/eureka,ApplicationInfoManager.constructor(),Gradle
Yes,Undetected,3f7d2c71dbbbb289c684f339874eed8ac2747fa0,https://github.com/jhy/jsoup,HttpConnection,Maven
Yes,Undetected,a8b6982de98ff76ef254031d7152fff57f6bf941,https://github.com/jhy/jsoup,HttpConnection,Maven
Yes,Undetected,867b917c43c32acbdcac55767e7f04334006c866,https://github.com/resty-gwt/resty-gwt,DirectRestServiceInterfaceClassCreator.getMethodCallback,Maven
Yes,Automatically Detected,ad2be678831b3b060229fd936e3908110162b7ac,https://github.com/Apache/Storm,KafkaSpoutConfig.toString,Maven
No,Build Conflicts,d96120f327107feb1ebb15e7c090dc38eeff72ca,https://github.com/jOOQ/jOOQ,DSL.coalesce,Maven
No,No Interference,ffc0c6e274094c6423e29d1c45bab1593b8fac7d,https://github.com/atmosphere/atmosphere,AtmosphereConfig,Maven
Yes,Undetected,e825a7fdc6ef688f1253b93d2cb236e710acfc56,https://github.com/kongchen/swagger-maven-plugin,AbstractReader.hasValidAnnotations,Maven
No,Refactoring,ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c,https://github.com/spring-projects/spring-boot,UndertowEmbeddedServletContainerFactory,Maven
No,Merge Conflicts,af20dc6cc45c032573413c401f9f73aa75371744,https://github.com/spring-projects/spring-boot,ExplodedArchive,Maven
No,No Interference,387c16ea05ef9fa312f37139228d2bbf61455ff4,https://github.com/thinkaurelius/titan,SerializerInitialization.initialize,Maven
No,No Interference,fee4762322f85a1109edd75ccb67f38cf5008c80,https://github.com/jhy/jsoup,HttpConnection.createConnection,Maven
No,No Interference,2b6c719c6645f8e48dca6d0047c752069d321bc4,https://github.com/square/retrofit,RestAdapter.logAndReplaceResponse,Maven
No,No Interference,2b6c719c6645f8e48dca6d0047c752069d321bc4,https://github.com/square/retrofit,RestAdapter.logAndReplaceRequest,Maven
No,No Interference,bf46684ba62f5883673ea8fb0a14aecfe0aedea2,https://github.com/Activiti/Activiti,UserTaskActivityBehavior.execute,Maven
No,Refactoring,1151c9853ccc3c9c3211c613b9b845b925f8c6a6,https://github.com/square/okhttp,GzipSource.consumeHeader,Maven
No,No Interference,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,https://github.com/brettwooldridge/HikariCP,HikariConfig.validate,Maven
No,No Interference,bae968d9a85c0501ba8842a6f88e7fc2c6b78693,https://github.com/sanity/quickml,OutOfTimeCrossValidatorRunner.getRandomForestBuilder,Maven
No,Refactoring,58901c846e4f0874977c5aabbc34bcb4de3670e0,https://github.com/jchambers/pushy,PushManager.handleConnectionClosure,Maven
No,No Interference,ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,https://github.com/DiUS/java-faker,Faker.constructor,Maven
No,Refactoring,e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2,https://github.com/swagger-api/swagger-core,OperationParser.getSchemaFromAnnotation,Maven
No,No Interference,4505c156b6267c1b760deec570ddbfe047b42aa9,https://github.com/cucumber/cucumber-jvm,JavaLanguage.load,Maven
