Project,Commit,Class,Method or Field Declaration,Locally Observable Interference,Locally Observable Interference Description,Left changes summay,Right changes summary,Associated Test case,,
https://github.com/Apache/Storm,ad2be678831b3b060229fd936e3908110162b7ac,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),Yes,Left and Right change the same string that will be returned. This is equivalent to both developers assigning different values to the same variable. A test case should explore the string returned from merge scenario commit.,Left removes the field and reference for maxRetries of the returning string from the method toString(),"Right performs a refactoring involving the references for key and value variables. It updates how the variable values are accessed (now using get methods instead of directly accessing the values). Right also removes references to the field: kafkaSpoutStreams, tuplesBuilder, topics, and topicWildcardPattern. Finally, it adds reference for subscription and translator.",-,,
https://github.com/antlr/antlr4,69ff2669eec265e25721dbc27cb00f6c381d0b41,org.antlr.v4.codegen.target.Python2Target,python2Keywords,Yes,"Left and Right change the same array list, which means they change the size field. A test case should explore the array size in each merge scenario commit.",Left changes the list of values of an array of Strings during its initialization (adition of a new value),Right changes the list of values of an array of Strings during its initialization (adition of a new value),-,,
https://github.com/antlr/antlr4,69ff2669eec265e25721dbc27cb00f6c381d0b41,org.antlr.v4.codegen.target.Python3Target,python3Keywords,Yes,"Left and Right change the same array list, which means they change the size field. A test case should explore the array size in each merge scenario commit.",Left changes the list of values of an array of Strings during its initialization (adition of a new value),Right changes the list of values of an array of Strings during its initialization (adition of a new value),-,,
https://github.com/CloudSlang/cloud-slang,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,io.cloudslang.lang.api.SlangImpl,getAllEventTypes(),Yes,"Left and right add new values of a same list, which means they change the field size.",Left adds new values into a list,Right adds new values into a list,https://drive.google.com/open?id=1PhUNEVnuBgL1cg11Sw9_BnZNVLvmuR08,,
https://github.com/Apache/Storm,bd1f5c54752f67b484a83c26667331234234d3a3,org.apache.storm.kafka.spout.KafkaSpout,"emitTupleIfNotEmitted(ConsumerRecord<K,V>)",No,There is no locally observable interference as the Left changes do not impact the method return.,Left performs a refactoring extracting a variable of an IF statement.  it also changes another IF condition. ,Right updates the method signature changing its return type for boolean and adds return statements.,-,,
https://github.com/unclebob/fitnesse,4d9ba9d221d879507440feb084fa7521b95111ec,fitnesse.testsystems.slim.tables.SlimTableFactory,SlimTableFactory(),Yes,"Left and right change values of the same map, which means they change the size field.","Left adds two new elements into a map, by calling the add method addTableTye twice.","Right adds a new element into a map, also calling the method addTableType.",-,,
https://github.com/square/okhttp,35166168529bd27281685e56a0a122eff44460e9,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),No,"There is no locally observable interference as Left and right change the object that will be returned by the method, but different attributes.",Left changed the object returned by the method using the current object of the class and ass a new value to the field transports.,Right changes the value assigned to result.hostnameverifier adding now an object OkHostnameVerifier.,-,,
https://github.com/jOOQ/jOOQ,d96120f327107feb1ebb15e7c090dc38eeff72ca,org.jooq.impl.DSL,"coalesce(T, T[])",No,"The specifications the changes are individually supposed to satisfy are not satisfied: the returned object by the method coalesce(T, T[]) has different state on left and right. It's not possible to create a test case as merge conflict happens.","added method declaration coalesce(T, T[])","also added method declaration coalesce(T, T[]), but with different body",-,,
https://github.com/kongchen/swagger-maven-plugin,e825a7fdc6ef688f1253b93d2cb236e710acfc56,com.github.kongchen.swagger.docgen.reader.AbstractReader,hasValidAnnotations(List<Annotation>),Yes,"Left and Right change the same array (right adds the same elements that left does, and also a new entry).",Left adds items to the returned list used to define the return of method hasValidAnnotations,Right also adds items to the returned list used to define the return of method hasValidAnnotations,https://drive.google.com/drive/folders/1Y2oEEFjk-AZtV5ynWTluKHDLrUC-TJ8i,,
https://github.com/square/retrofit,71f622ce51031b152a0be6ad5facfb27a654bf5a,retrofit.RequestBuilder,build(),Yes,The changes are conflicting as they change the same local variable used to create the returned object.,"Left changed the argument of a method call and chained it with another call. Semantically, it inserts ""?"" in the middle of a string stored in the url variable.",Right adds an if statement that surrounds an assignment (which comes from base) to the url variable.,https://drive.google.com/open?id=1CxypKZDUNmBovFmYQC_l0DQ77zvU6RwI,,
