mean,median,stardard deviation
0.96,0.79,0.7
0.93,0.89,0.69
30.19,45.86,18.77
1.24,1.35,0.39
1.43,1.26,0.57
0.97,1.1,0.31
0.88,0.99,0.28
0.8,0.81,0.47
0.78,0.94,0.42
0.82,1.12,0.45
0.94,1.02,0.34
0.94,0.8,0.41
1.75,1.42,1.14
1.06,0.99,0.39
1.57,1.33,0.82
1.06,1.07,0.34
1.07,1.2,0.33
1.08,1.21,0.34
1.01,1.06,0.32
1.76,1.72,1.14
2.13,1.76,1.78
1.52,1.61,0.66
1.0,1.09,0.29
1.0,1.29,0.47
1.13,1.32,0.36
0.95,1.16,0.35
0.97,1.15,0.36
0.98,1.02,0.28
1.1,1.21,0.33
0.9,1.0,0.43
14.78,19.17,6.67
2.8,2.77,1.51
1.11,1.26,0.31
2.31,2.19,0.93
1.04,1.19,0.35
1.41,1.22,0.85
15.87,17.0,21.07
14.57,2.34,50.65
2.77,2.18,1.83
1.04,1.18,0.37
0.88,0.98,0.28
1.15,1.31,0.35
0.92,0.85,0.36
2.18,1.36,1.64
1.19,1.35,0.34
2.19,1.37,1.6
1.43,1.28,0.75
1.6,1.27,1.06
2.59,1.34,3.03
1.1,1.16,0.37
1.18,1.29,0.32
1.11,1.24,0.32
1.1,1.27,0.35
1.29,1.33,0.48
1.02,1.11,0.3
1.25,1.2,0.44
0.87,0.91,0.29
0.98,1.11,0.28
0.92,1.0,0.3
0.92,1.02,0.3
0.89,0.92,0.29
0.82,1.08,0.38
0.82,0.97,0.4
0.83,1.01,0.45
3.12,3.97,2.78
3.57,4.35,2.36
2.22,2.2,1.06
4.97,5.45,2.46
6.25,4.81,6.6
3.65,4.4,2.56
3.73,4.37,2.37
2.36,2.08,1.5
5.58,5.34,4.97
3.21,3.9,2.55
3.35,3.91,2.47
3.29,4.31,2.55
46.15,5.83,134.68
5.58,4.79,7.81
3.51,4.71,2.63
3.58,4.49,2.61
3.33,4.12,2.34
3.45,4.42,2.53
3.01,4.43,2.62
1.08,1.21,0.34
3.41,4.11,2.77
3.47,4.43,2.67
1.93,2.03,1.1
3.73,4.16,2.28
3.81,4.21,2.29
0.91,1.03,0.26
2.02,1.67,1.36
0.94,0.88,0.36
1.37,1.24,0.65
0.77,0.77,0.27
0.62,0.35,0.43
1.08,0.98,0.42
1.35,1.5,0.52
1.2,1.3,0.45
1.2,1.31,0.44
0.95,1.2,0.46
1.07,0.99,0.41
0.69,0.76,0.36
