Configure Soot Confluence 1 Intra;Time to perform Confluence 1 Intra;Configure Soot Confluence 2 Intra;Time to perform Confluence 2 Intra;Configure Soot Confluence 1 Inter;Time to perform Confluence 1 Inter;Configure Soot Confluence 2 Inter;Time to perform Confluence 2 Inter;Configure Soot OA Inter;Time to perform OA Inter;Configure Soot DFP Intra left-right;Configure Soot DFP Intra right-left;Time to perform DFP Intra left-right;Time to perform DFP Intra right-left;Configure Soot DFP Inter left-right;Configure Soot DFP Inter right-left;Time to perform DFP Inter left-right;Time to perform DFP Inter right-left;Configure Soot CD left-right;Configure Soot CD right-left;Time to perform CD left-right;Time to perform CD right-left;Configure Soot CDe left-right;Configure Soot CDe right-left;Time to perform CDe left-right;Time to perform CDe right-left;Configure Soot PDG left-right;Configure Soot PDG right-left;Time to perform PDG left-right;Time to perform PDG right-left;Configure Soot PDGe left-right;Configure Soot PDGe right-left;Time to perform PDGe left-right;Time to perform PDGe right-left
1.61600;0.37200;0.78100;0.01300;1.62300;0.36000;0.80300;0.01500;1.73600;1.81900;1.67300;1.69100;0.36400;0.39900;1.70300;1.61100;0.37600;0.38100;1.65700;1.73600;0.10700;0.12200;1.71900;1.68500;0.12300;0.10600;1.61500;1.61800;0.38500;0.40300;1.61300;1.63000;0.36800;0.40500
1.60900;0.36300;0.81900;0.01300;1.62400;0.33600;0.96000;0.01400;1.76400;1.84900;1.60900;1.65900;0.33600;0.35200;1.65400;1.62900;0.38200;0.36600;1.67600;1.68600;0.10500;0.10600;1.65100;1.63300;0.10600;0.06000;1.53100;1.58600;0.28500;0.31900;0.98800;1.64300;0.38200;0.41200
47.35700;7.27500;46.99700;7.81400;47.65500;18.43600;45.63900;28.07600;47.04200;53.67600;46.50000;47.08500;6.80600;9.31200;46.76800;46.21700;14.37300;20.14800;47.81000;47.62200;6.99500;7.46400;46.31700;46.90800;6.91200;9.05400;46.41300;46.07100;8.51200;7.16500;46.09500;46.67600;9.92100;9.42200
1.34600;1.53300;0.65100;0.19400;1.45200;2.24900;0.67200;0.28300;1.42600;1.64800;1.41200;1.54900;1.22600;1.01800;1.40000;1.41100;1.65700;1.17400;1.34800;1.37900;0.90500;0.91300;1.36600;1.35000;0.87600;0.89800;1.34300;1.34600;1.32600;1.36400;1.37100;1.33300;1.25200;1.39800
1.95200;0.94500;0.97800;0.22300;1.92900;1.08600;0.93100;0.23300;2.06900;2.19500;1.92700;1.98800;0.86500;0.91800;1.94600;1.97700;1.01800;1.07800;1.95900;1.95800;1.02200;0.91000;1.99100;1.96600;0.96100;0.89400;1.94300;1.97300;1.29300;1.14200;1.97600;2.00900;1.23100;1.14900
1.18100;1.04600;0.38300;0.12000;1.15700;1.21400;0.38800;0.17300;1.21200;1.43600;1.16500;1.20200;0.85600;0.88600;1.16000;1.13900;1.05100;1.00800;1.19100;1.22400;0.76500;0.77400;1.17300;1.17100;0.78700;0.75200;1.15700;1.14800;0.96300;0.94100;1.15600;1.18300;0.97200;0.93600
1.04200;0.79800;0.34200;0.05900;1.04200;0.75900;0.34500;0.06100;1.12100;1.23000;1.05100;1.05200;0.83500;0.80000;1.04800;1.05200;0.84800;0.86500;1.06900;1.05900;0.73800;0.79800;1.05500;1.08100;0.72000;0.79300;1.11000;1.03200;0.94200;0.99200;1.02700;1.04800;0.95900;0.99200
1.21700;0.72800;0.47500;0.01200;1.26900;0.88000;0.40000;0.01100;1.32100;1.45600;1.21800;1.24000;0.43600;0.29600;1.25900;1.21900;0.73900;0.10700;1.21900;1.25700;0.61200;0.09000;1.23300;1.24600;0.60400;0.08700;1.22500;1.21700;0.59700;0.30500;1.21900;1.22000;0.61100;0.34300
1.13900;0.88300;0.35000;0.00800;1.13500;0.98700;0.33900;0.00900;1.18600;1.35300;1.12000;1.13400;0.64100;0.28800;1.12800;1.13600;0.68900;0.28500;1.15500;1.16200;0.58800;0.09000;1.15800;1.15500;0.61300;0.09000;1.11700;1.12800;0.74000;0.32800;1.11400;1.11000;0.73900;0.32700
1.13800;1.15900;0.35000;0.00700;1.12800;1.61700;0.41700;0.00800;1.20400;1.30800;1.15200;1.14300;0.77600;0.28600;1.16900;1.17200;1.02200;0.28700;1.14100;1.14100;0.58200;0.08600;1.14700;1.15000;0.56600;0.08600;1.12400;1.14100;0.81500;0.33800;1.10600;1.12600;0.78500;0.32200
1.17900;0.72600;0.35400;0.08400;1.19900;0.77200;0.37000;0.09200;1.28200;1.41200;1.18800;1.19300;0.72500;0.73800;1.22600;1.20000;0.79900;0.79500;1.24600;1.22200;0.80100;0.78800;1.19000;1.22500;0.78400;0.81800;1.22400;1.21500;1.00500;1.02500;1.22100;1.22600;0.78900;1.01500
1.30900;0.65400;0.48200;0.07400;1.27700;0.68200;0.47900;0.07000;1.39500;1.51300;1.28300;1.41600;0.62700;0.56400;1.29200;1.31600;0.66200;0.58600;1.32200;1.32300;0.68600;0.63000;1.31400;1.30900;0.69500;0.59300;1.29700;1.28500;0.83400;0.73300;1.30900;1.27100;0.76700;0.76300
1.41000;1.13700;0.42700;0.64200;1.44700;5.56000;0.39800;3.65100;1.27600;1.62600;1.32700;1.39700;1.06300;1.20900;1.42200;1.41800;4.37000;4.35500;1.40500;1.45000;1.10700;1.09300;1.42700;1.43400;1.66000;1.64500;1.41400;1.37700;1.53500;1.46900;1.37300;1.40100;2.75300;2.70300
1.39800;0.85700;0.46600;0.21900;1.38500;0.95500;0.43500;0.16700;1.47200;1.63200;1.41800;1.37400;0.77000;0.78700;1.41200;1.40900;0.92600;0.88800;1.41500;1.45100;0.74700;0.71900;1.40100;1.39400;0.71500;0.80900;1.36700;1.36000;0.91800;0.92500;1.40600;1.41800;0.90600;1.02100
1.29200;1.20400;0.41200;0.18900;1.32900;4.12300;0.36900;2.85700;1.36200;1.67800;1.38700;1.31100;1.07700;1.03900;1.31900;1.34600;3.09300;3.07400;1.34200;1.33000;1.16500;1.21400;1.33400;1.30400;1.74000;1.72900;1.30100;1.29500;1.52500;1.53400;1.31800;1.32200;2.84300;2.78400
1.08700;1.19400;0.30400;0.17300;1.06900;1.98500;0.36000;0.77200;1.13900;1.56200;1.06500;1.08300;1.05500;0.99800;1.05000;1.06100;1.58500;1.56900;1.11100;1.10100;0.90700;0.96500;1.07600;1.10800;0.93800;0.96700;1.06300;1.06500;1.14900;1.14100;1.06900;1.07300;1.13900;1.21600
1.25700;1.15900;0.37100;0.12900;1.26200;1.45600;0.41600;0.31300;1.31700;1.59700;1.25100;1.25400;0.95600;0.86900;1.28000;1.23300;1.14200;1.10100;1.28100;1.27100;0.84100;0.83000;1.29300;1.29500;0.86100;0.83600;1.24400;1.24800;1.06600;1.07900;1.26400;1.25900;1.11500;1.06700
1.26000;1.19000;0.50200;0.09800;1.24400;1.38000;0.42200;0.28200;1.38500;1.63500;1.27100;1.26900;0.96800;0.89700;1.29200;1.26500;1.11900;1.10300;1.28200;1.27300;0.86200;0.82700;1.31600;1.29900;0.83800;0.81600;1.28600;1.35800;1.09100;1.13700;1.26200;1.23900;1.04600;1.06000
1.03000;1.04300;0.29800;0.14000;1.05900;1.93200;0.34600;0.79000;1.12700;1.33800;1.07700;1.06900;0.85700;0.86600;1.05700;1.06800;1.43900;1.38600;1.08100;1.08700;0.81800;0.82400;1.09600;1.07900;0.82100;0.80900;1.05100;1.05300;1.11700;1.09800;1.05200;1.05300;1.13500;1.10400
1.75800;1.44800;0.79200;0.16100;1.73400;6.35500;0.62500;2.71000;1.86100;2.20700;1.52900;1.72600;0.70100;1.04900;1.92800;1.75400;4.18400;4.06000;1.61300;1.71400;0.69000;1.06400;1.79300;1.80200;1.06700;1.09600;1.72600;1.74600;1.38200;1.44700;1.75200;1.73800;1.34700;1.41300
