Confluence Intra;Confluence Inter;OA Inter;DFP Intra left-right;DFP Intra right-left;DFP Inter left-right;DFP Inter right-left
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
59,481,241,1285,664;391,4451,2583,5416,3220;597;8,452,227;49,1242,645;184,4412,2566;207,5367,3200
7,515,306,300,197;33,836,540,525,327;7;6,515,306;1,300,197;20,836,540;13,525,327
6,168,86,187,95;20,268,147,272,149;1;2,168,86;4,187,95;10,268,147;10,272,149
11,175,86,117,63;44,359,198,351,194;49;8,175,86;3,117,63;22,359,198;22,351,194
3,88,44,68,35;4,92,48,85,44;1;2,88,44;1,68,35;2,92,48;2,85,44
3,103,47,0,0;12,192,96,0,0;9;3,103,47;0,0,0;12,192,96;0,0,0
10,103,46,0,0;16,150,81,0,0;40;10,103,46;0,0,0;16,150,81;0,0,0
3,164,90,0,0;16,540,298,0,0;1;3,164,90;0,0,0;16,538,298;0,0,0
3,113,62,104,58;10,149,83,147,82;4;2,113,62;1,104,58;5,149,83;5,147,82
2,52,25,52,25;2,52,25,52,25;1;1,52,25;1,52,25;1,52,25;1,52,25
10,295,154,447,231;188,2663,1559,2702,1581;108;1,293,154;9,445,231;94,2652,1555;94,2691,1577
7,98,51,140,67;16,189,97,193,98;12;2,99,51;3,134,65;8,190,97;8,193,98
2,281,145,281,145;140,2069,1218,2069,1218;60;1,279,145;1,279,145;70,2058,1214;70,2058,1214
8,136,67,87,45;80,893,546,874,536;88;6,136,67;2,87,45;40,887,543;40,868,533
3,164,86,128,66;50,520,287,514,284;46;2,156,82;1,120,62;25,511,283;25,505,280
3,196,104,160,84;42,486,271,480,268;43;2,190,101;1,154,81;21,480,268;21,474,265
2,173,96,173,96;56,938,517,938,517;15;1,173,96;1,173,96;28,937,517;28,937,517
11,331,164,230,121;255,2655,1586,2620,1569;32;10,331,164;1,230,121;128,2655,1586;127,2620,1569
42,851,429,420,219;225,3241,1963,2608,1577;203;33,851,429;7,410,215;130,3241,1963;95,2608,1577
6,294,168,242,136;40,864,502,854,496;3;3,294,168;3,242,136;20,858,499;20,848,493
2,0,0,111,54;5,0,0,122,61;0;0,0,0;2,111,54;0,0,0;5,122,61
2,0,0,267,131;26,0,0,877,476;0;0,0,0;2,267,131;0,0,0;26,873,476
7,167,90,187,99;20,245,136,246,136;7;3,167,90;3,186,99;10,246,136;10,245,136
12,261,131,60,29;37,365,196,348,179;3;9,261,131;3,60,29;18,365,196;19,354,182
15,359,175,46,22;49,524,272,391,199;26;13,359,175;2,46,22;28,523,272;21,396,202
5,177,92,180,93;62,659,367,659,367;92;2,177,92;3,180,93;31,654,365;31,654,365
5,320,164,263,138;24,432,234,411,223;70;4,320,164;1,263,138;12,432,234;12,411,223
3,98,55,19,10;68,984,578,975,572;3;2,98,55;1,19,10;34,980,578;34,971,572
29,394,191,369,184;259,2755,1639,2749,1635;516;16,394,191;10,340,171;129,2737,1633;130,2735,1631
16,379,189,126,66;202,2858,1626,2164,1215;120;15,375,187;1,126,66;111,2822,1611;91,2133,1202
8,175,90,187,99;54,545,305,556,311;3;4,175,90;4,187,99;27,545,305;27,556,311
9,315,167,198,107;145,2222,1313,2209,1305;571;8,315,167;1,198,107;73,2210,1308;72,2197,1300
6,183,99,187,96;54,976,575,974,573;23;3,181,98;3,185,95;27,974,574;27,972,572
6,250,125,271,134;138,2116,1200,2116,1200;28;2,250,125;4,277,137;69,2106,1197;69,2112,1200
65,2899,1609,98,47;345,9342,5658,1793,1040;237;64,2909,1614;1,98,47;297,9307,5643;48,1807,1047
122,312,153,3848,2269;579,6118,3693,13341,8439;258;13,312,153;100,3810,2257;193,6120,3695;384,13321,8428
8,1139,588,1137,587;128,3745,2434,3745,2434;117;4,1139,588;4,1137,587;64,3741,2432;64,3741,2432
4,95,55,104,58;80,1173,625,1173,625;13;2,95,55;2,104,58;40,1164,625;40,1164,625
2,140,69,140,69;6,155,75,155,75;2;1,140,69;1,140,69;3,155,75;3,155,75
15,270,130,142,68;58,549,297,511,279;32;9,270,130;4,136,66;31,549,297;26,508,277
6,67,32,47,24;12,82,45,74,41;7;5,67,32;1,47,24;6,82,45;6,74,41
4,1012,538,1024,542;256,2761,1614,2765,1616;220;1,1000,533;3,1014,538;128,2749,1609;128,2755,1612
7,306,157,311,159;20,416,244,418,245;1;3,298,153;4,311,159;10,408,240;10,418,245
5,994,528,1012,534;248,2692,1567,2698,1570;216;1,982,523;4,1002,530;124,2680,1562;124,2688,1566
2,365,202,365,202;108,1925,1129,1925,1129;11;1,351,195;1,371,205;54,1841,1087;54,1861,1097
2,469,263,469,263;118,2469,1488,2469,1488;5;1,447,252;1,455,256;59,2343,1425;59,2351,1429
2,306,152,306,152;182,3763,2240,3763,2240;57;1,294,149;1,294,149;91,3598,2162;91,3598,2162
2,110,55,110,55;30,355,209,355,209;11;1,122,61;1,128,64;15,367,215;15,373,218
11,157,78,302,152;62,914,518,920,522;13;4,157,78;7,302,152;31,910,516;31,916,520
7,175,90,196,100;54,548,301,554,304;11;3,175,90;4,196,100;27,544,299;27,550,302
7,164,84,185,94;28,290,162,296,165;4;3,164,84;4,185,94;14,290,162;14,296,165
2,301,165,301,165;64,991,551,991,551;3;1,299,165;1,299,165;32,985,549;32,985,549
2,125,62,126,62;32,226,119,227,119;15;1,126,62;1,126,62;16,227,119;16,227,119
6,187,89,182,85;42,332,174,328,172;24;3,187,89;2,179,84;21,332,174;21,332,174
2,101,55,101,55;4,111,61,111,61;1;1,101,55;1,101,55;2,111,61;2,111,61
2,267,143,267,143;2,267,143,267,143;1;1,267,143;1,267,143;1,267,143;1,267,143
2,145,75,145,75;8,170,88,170,88;2;1,145,75;1,145,75;4,170,88;4,170,88
2,184,95,184,95;4,359,187,359,187;1;1,184,95;1,184,95;2,359,187;2,359,187
2,105,54,105,54;6,289,152,289,152;2;1,105,54;1,105,54;3,289,152;3,289,152
1,0,0,320,160;3,0,0,337,169;0;0,0,0;1,266,134;0,0,0;3,283,143
1,0,0,213,109;3,0,0,337,175;0;0,0,0;1,213,109;0,0,0;3,337,175
2,94,48,0,0;23,390,223,0,0;1;2,94,48;0,0,0;23,390,223;0,0,0
