mean,median,stardard deviation
0.94,1.1,0.63
0.94,1.12,0.64
1.0,1.08,0.3
1.2,1.24,0.4
1.33,1.41,0.55
0.9,1.03,0.31
0.79,0.92,0.28
0.78,0.92,0.41
0.74,0.94,0.38
0.81,1.01,0.42
0.87,0.98,0.33
0.87,0.91,0.4
2.06,1.29,1.46
0.96,1.03,0.37
1.62,1.26,0.9
1.06,0.98,0.36
1.0,1.11,0.31
0.98,1.11,0.31
1.02,0.95,0.31
1.99,1.58,1.39
2.65,1.69,2.14
1.55,1.73,0.54
0.9,0.99,0.29
0.96,1.16,0.43
1.0,1.11,0.34
0.88,1.02,0.32
0.91,1.04,0.33
0.92,0.94,0.27
1.01,1.1,0.33
0.97,0.92,0.49
0.75,0.84,0.27
3.19,3.37,1.38
1.06,1.16,0.27
2.48,2.04,1.12
1.12,1.09,0.34
1.66,1.16,1.08
7.96,1.67,18.7
24.03,2.49,54.65
3.56,2.14,2.37
1.05,1.06,0.34
0.8,0.91,0.28
1.07,1.18,0.33
0.83,0.89,0.34
2.35,1.44,1.71
1.09,1.23,0.33
2.48,1.34,1.74
1.61,1.18,0.92
1.84,1.31,1.34
2.61,1.2,2.65
1.02,1.14,0.36
1.16,1.16,0.28
1.04,1.11,0.29
1.0,1.14,0.34
1.16,1.17,0.28
0.93,1.02,0.31
1.14,1.23,0.42
0.8,0.89,0.28
0.89,0.99,0.29
0.83,0.92,0.29
0.85,0.94,0.27
0.82,0.89,0.27
0.77,0.97,0.33
0.76,0.93,0.34
0.8,1.05,0.39
3.23,4.32,2.68
3.82,4.34,1.91
2.23,2.54,0.78
6.22,5.94,2.42
10.58,5.83,9.72
4.03,4.91,2.3
4.03,4.58,2.14
2.32,2.25,1.41
8.48,6.0,6.63
3.58,4.65,2.46
3.65,4.36,2.62
3.39,4.36,2.37
101.71,5.85,194.87
7.85,5.52,10.15
3.6,4.41,2.35
3.46,4.55,2.33
3.96,4.86,2.59
3.58,4.54,2.37
3.36,5.26,2.73
0.93,1.07,0.36
3.45,4.87,2.54
3.62,4.99,2.34
2.01,2.03,0.91
4.56,5.58,2.03
4.29,4.88,2.09
0.85,0.91,0.25
1.97,2.28,1.21
0.86,0.94,0.35
1.25,1.18,0.58
0.69,0.76,0.28
0.6,0.62,0.38
1.0,1.07,0.41
1.46,1.4,0.52
1.3,1.22,0.43
1.29,1.21,0.41
0.9,1.13,0.39
1.01,1.08,0.35
0.65,0.81,0.33
