Config CF left-base;Confluence left-base;Config CF right-base;Confluence right-base;Config OA;OA;Config DFP left;DFP left;Config DFP right;DFP right;Config PDG left;PDG left;Config PDG right;PDG right
"1.60700
";"0.30600
";"0.50900
";"0.00800
";"1.78500
";"1.86900
";"1.64900
";"0.35600
";"1.66300
";"0.34600
";"1.64600
";"0.39200
";"1.67900
";"0.39800
"
"1.67800
";"0.38500
";"0.95100
";"0.01500
";"1.74600
";"1.83100
";"1.63200
";"0.37600
";"1.66700
";"0.37600
";"1.64700
";"0.41800
";"1.68100
";"0.42900
"
"47.91800
";"16.62800
";"45.88700
";"27.61400
";"47.34200
";"53.82600
";"47.17900
";"16.64300
";"47.35100
";"20.18400
";"46.68600
";"7.16700
";"47.52500
";"7.42900
"
"1.31900
";"2.29600
";"0.76200
";"0.29000
";"1.41800
";"1.63400
";"1.42800
";"1.65600
";"1.41800
";"1.21200
";"1.23300
";"1.13400
";"1.25000
";"1.36800
"
"1.94900
";"1.13600
";"0.94300
";"0.21500
";"2.05400
";"2.18400
";"1.96300
";"1.03100
";"1.96400
";"1.03400
";"1.96700
";"1.22700
";"1.93100
";"1.16900
"
"1.18600
";"1.19700
";"0.38100
";"0.16200
";"1.23600
";"1.45800
";"1.17200
";"0.99000
";"1.17500
";"1.01700
";"1.12800
";"0.93400
";"1.15300
";"0.89300
"
"1.04600
";"0.79000
";"0.33200
";"0.05200
";"1.14900
";"1.25700
";"1.05000
";"0.88400
";"1.04000
";"0.90100
";"1.05000
";"0.94100
";"1.05600
";"0.97800
"
"1.23000
";"1.01800
";"0.37100
";"0.00800
";"1.30900
";"1.45000
";"1.23200
";"0.74500
";"1.25200
";"0.30900
";"1.21900
";"0.57700
";"1.22800
";"0.13400
"
"1.14700
";"0.97800
";"0.35000
";"0.00700
";"1.21300
";"1.38500
";"1.14400
";"0.70400
";"1.13600
";"0.30400
";"1.11500
";"0.76700
";"1.13900
";"0.33100
"
"1.14600
";"1.59700
";"0.39300
";"0.00900
";"1.23000
";"1.33500
";"1.15800
";"0.99400
";"1.14000
";"0.30900
";"1.14700
";"0.79600
";"1.16800
";"0.30500
"
"1.20700
";"1.01400
";"0.36000
";"0.09800
";"1.30800
";"1.42100
";"1.21900
";"0.78800
";"1.25300
";"0.80200
";"1.19400
";"1.03600
";"1.21800
";"0.99500
"
"1.30500
";"0.72500
";"0.49900
";"0.07900
";"1.38200
";"1.50200
";"1.28000
";"0.66800
";"1.32900
";"0.57600
";"1.31000
";"0.84000
";"1.28400
";"0.71900
"
"1.43600
";"5.68800
";"0.57300
";"4.34200
";"1.53000
";"1.92400
";"1.41100
";"4.34800
";"1.42700
";"4.34500
";"1.63200
";"1.26600
";"1.43900
";"1.43800
"
"1.39500
";"0.98500
";"0.44700
";"0.17300
";"1.47300
";"1.62800
";"1.39200
";"0.93600
";"1.33900
";"0.84700
";"1.37700
";"0.94600
";"1.37800
";"0.71600
"
"1.33500
";"4.27000
";"0.37500
";"2.84500
";"1.42400
";"1.75900
";"1.33000
";"3.04600
";"1.39900
";"3.09300
";"1.30700
";"1.50800
";"1.31600
";"1.56900
"
"1.10700
";"2.12000
";"0.37900
";"0.80900
";"1.15800
";"1.59000
";"1.09400
";"1.56800
";"1.08600
";"1.58000
";"1.06300
";"1.19600
";"1.05400
";"1.18800
"
"1.27300
";"1.45400
";"0.41900
";"0.32400
";"1.37600
";"1.65800
";"1.27300
";"1.13700
";"1.28500
";"1.15000
";"1.25900
";"1.09100
";"1.28800
";"1.15700
"
"1.27500
";"1.39000
";"0.41200
";"0.28900
";"1.35700
";"1.60800
";"1.29700
";"1.08300
";"1.26300
";"1.06000
";"1.26200
";"1.08800
";"1.29000
";"1.07200
"
"1.10400
";"2.02000
";"0.36000
";"0.81200
";"1.18800
";"1.40300
";"1.07300
";"1.45500
";"1.06500
";"1.34900
";"1.04800
";"1.13200
";"1.07600
";"1.06800
"
"1.77100
";"6.22600
";"0.47700
";"2.70300
";"1.84800
";"2.19900
";"1.62100
";"2.53000
";"1.67100
";"2.39500
";"1.73000
";"1.40600
";"1.06500
";"0.85900
"
"1.90800
";"8.92700
";"0.50000
";"4.04200
";"1.85500
";"2.45700
";"1.89400
";"6.36900
";"1.90700
";"4.96000
";"1.83100
";"1.81600
";"1.70800
";"1.81800
"
"1.33600
";"1.85100
";"1.49700
";"0.54200
";"2.27900
";"2.41900
";"2.20900
";"1.61100
";"2.21200
";"1.74100
";"2.16300
";"1.08900
";"2.18100
";"1.10400
"
"1.13200
";"1.11800
";"0.36700
";"0.20300
";"1.25100
";"1.66400
";"1.11400
";"0.98900
";"1.09900
";"1.00500
";"1.13200
";"1.19200
";"1.09600
";"1.14300
"
"1.30200
";"0.30800
";"0.53600
";"1.65000
";"1.39200
";"1.47400
";"1.31300
";"0.32300
";"1.34100
";"1.37100
";"1.34300
";"0.37900
";"1.27300
";"1.25300
"
"1.34900
";"1.12500
";"0.54300
";"0.11800
";"1.42600
";"1.55700
";"1.37700
";"1.05000
";"1.38500
";"0.96400
";"1.33800
";"1.13400
";"1.36400
";"1.11200
"
"1.18000
";"1.30500
";"0.39500
";"0.13900
";"1.26300
";"1.37700
";"1.18000
";"1.15100
";"1.17500
";"1.09200
";"1.15700
";"0.74700
";"1.15900
";"0.79100
"
"1.20200
";"1.47500
";"0.40900
";"0.15100
";"1.26200
";"1.43400
";"1.18800
";"1.25500
";"1.19900
";"1.03500
";"1.15800
";"0.81400
";"1.14600
";"0.77100
"
"1.01100
";"1.45700
";"0.36000
";"0.45300
";"1.11400
";"1.44700
";"1.01800
";"1.23600
";"1.01300
";"1.23800
";"1.04400
";"1.18100
";"1.00700
";"1.14400
"
"1.28000
";"1.29700
";"0.40700
";"0.22700
";"1.30600
";"1.52800
";"1.25100
";"1.15200
";"1.23300
";"1.13200
";"1.23600
";"1.41600
";"1.20700
";"1.42800
"
"1.01400
";"2.58600
";"0.27400
";"0.72100
";"1.11500
";"1.21000
";"1.01500
";"1.54400
";"1.05600
";"1.45300
";"0.98200
";"0.68300
";"1.00300
";"0.65700
"
"21.58600
";"13.58400
";"19.60000
";"8.77500
";"20.95800
";"25.90300
";"20.12700
";"15.57400
";"20.87800
";"9.80000
";"20.56400
";"7.08200
";"21.23900
";"8.31000
"
"3.35900
";"8.59400
";"2.09000
";"2.10300
";"3.53500
";"4.02600
";"2.80800
";"5.66600
";"3.73000
";"3.63300
";"3.41300
";"1.08500
";"4.16900
";"1.21300
"
"1.20600
";"1.47100
";"0.60900
";"0.49500
";"1.37200
";"1.56300
";"1.33400
";"1.21200
";"1.32400
";"1.38900
";"1.35400
";"1.14300
";"1.25800
";"1.14900
"
"2.22800
";"6.03200
";"1.26800
";"4.01600
";"2.29100
";"3.17600
";"2.02300
";"4.47400
";"1.91800
";"2.76900
";"2.18700
";"2.32100
";"2.21000
";"2.21300
"
"1.22200
";"2.13100
";"0.45500
";"0.85500
";"1.25800
";"1.48600
";"1.21900
";"1.60600
";"1.23100
";"1.61400
";"1.24900
";"1.07700
";"1.20700
";"1.06700
"
"1.21600
";"4.68300
";"0.35900
";"2.62700
";"0.71300
";"0.90700
";"1.13400
";"3.37500
";"1.19600
";"3.38800
";"1.19800
";"1.38300
";"1.17600
";"1.36700
"
"18.84800
";"93.15300
";"15.61600
";"2.24000
";"17.65800
";"19.51800
";"18.48700
";"38.72300
";"18.68100
";"4.78400
";"18.30400
";"4.77500
";"17.17000
";"3.17700
"
"2.67400
";"19.28800
";"0.66400
";"206.59300
";"2.26400
";"5.22500
";"2.46800
";"18.57500
";"2.29500
";"77.07100
";"1.27300
";"1.94900
";"2.05400
";"2.77700
"
"2.24200
";"8.64400
";"0.66300
";"6.38600
";"2.31900
";"2.60200
";"1.89700
";"6.39000
";"1.29800
";"5.17700
";"2.20100
";"3.29500
";"2.13200
";"4.92700
"
