project;class;method;merge_commit;ioa_exec_1;ioa_exec_2;ioa_exec_3;ioa_exec_4;ioa_exec_5;ioa_exec_6;ioa_exec_7;ioa_exec_8;ioa_exec_9;ioa_exec_10;ioa_mean;ioa_median;ioa_std;ioa_without_pa_exec_1;ioa_without_pa_exec_2;ioa_without_pa_exec_3;ioa_without_pa_exec_4;ioa_without_pa_exec_5;ioa_without_pa_exec_6;ioa_without_pa_exec_7;ioa_without_pa_exec_8;ioa_without_pa_exec_9;ioa_without_pa_exec_10;ioa_without_pa_mean;ioa_without_pa_median;ioa_without_pa_std
a;co.nordlander.a.A;connect(String, String, String, Protocol, String, boolean);3497235f96c45ea39d2be68ded078b07a4d1a17c;292;31.59;30.479;31.146;31.425;36.335;33.526;36.315;31.897;35.547;31.874;33.0134;31.8855;2.2514071254316583;300.023;300.024;300.024;300.013;300.024;300.023;300.023;300.024;300.024;300.025;300.0227;300.024;0.0034657049948251086
accumulo;org.apache.accumulo.core.client.impl.thrift.ClientService;isSet(_Fields);4d93300ee39e79417a0e9f270147262326b5c78b;327;8.546;6.977;7.456;6.648;7.507;7.058;8.914;8.913;8.579;7.208;7.7806;7.4815000000000005;0.8659615336594217;15.7;16.243;15.416;15.747;17.626;16.598;16.541;16.247;17.166;15.561;16.2845;16.244999999999997;0.7189620991401428
accumulo;org.apache.accumulo.core.util.TableDiskUsage;printDiskUsage(AccumuloConfiguration, Collection<String>, FileSystem, Connector, Printer);8312b0740ecdfaff7afd963e8bab91a0bfdeafd1;326;8.652;6.689;7.803;6.673;6.443;7.459;7.228;5.966;5.738;6.576;6.9227;6.681;0.8776420492812923;300.016;300.019;300.018;300.019;300.02;300.015;300.019;300.014;300.019;300.019;300.0178;300.019;0.0020439612955648516
accumulo;org.apache.accumulo.fate.AdminUtil;prepDelete(ZooStore<T>, IZooReaderWriter, String, String);7688eaf0b684a2bb76a0b49bff9a79763d41a8e5;324;3.37;3.418;3.364;3.3;2.882;3.24;3.325;3.327;3.391;3.429;3.3046;3.3455;0.1589229023422643;2.106;3.455;3.077;2.09;2.939;3.503;2.683;2.669;3.115;3.205;2.8842;3.008;0.4975745170323739
accumulo;org.apache.accumulo.miniclusterImpl.MiniAccumuloClusterImpl;MiniAccumuloClusterImpl(MiniAccumuloConfigImpl);bf0d1602e26d2bc8bfa5c37c7ef11afa87eedc81;318;3.153;3.167;3.08;3.208;2.837;3.158;3.141;3.102;3.213;3.205;3.1264;3.1555;0.11075719189089053;2.112;3.267;3.17;3.161;3.233;2.903;3.444;2.816;3.419;3.295;3.082;3.2015000000000002;0.3950653954305118
accumulo;org.apache.accumulo.server.rpc.TServerUtils;getSslServerSocket(int, int, InetAddress, SslConnectionParams);19b4c508bf316671af4158d46d49b29eed9caf48;320;4.274;4.338;4.251;4.277;3.952;4.129;4.561;4.262;4.361;4.197;4.2602;4.268;0.15756818629829228;5.75;5.641;6.062;5.584;6.162;6.222;6.078;6.683;5.607;6.241;6.003;6.07;0.3541534507338121
accumulo;org.apache.accumulo.server.tabletserver.Tablet;split(byte[]);3ad3f8b38f2ac5b1cfeb26edcaa7f014bf13c793;325;7.263;6.379;7.306;6.738;6.574;7.2;7.226;6.766;7.262;6.389;6.9103;6.9830000000000005;0.3809202453707775;165.229;166.932;168.079;171.233;171.686;175.415;172.562;177.768;166.852;169.474;170.523;170.3535;3.998713320834867
accumulo;org.apache.accumulo.test.functional.ManagerAssignmentIT;testShutdownOnlyTServerWithoutUserTable();ff98ee4498b39838d781065b4202508ae50d36cc;319;4.069;4.024;4.16;4.024;3.429;4.059;3.858;4.187;3.984;4.023;3.9817;4.024;0.21437353174100376;12.226;15.007;16.137;14.953;14.583;15.804;14.175;14.906;14.779;15.338;14.7908;14.9295;1.0659011628143054
accumulo;org.apache.accumulo.test.functional.ZombieTServer;main(String[]);83d2dc24e87641171b2aef3fa3e4e35dc94cf279;321;4.113;3.77;3.644;3.759;3.313;3.369;3.64;3.688;4.009;3.933;3.7238;3.7235;0.2558787907497524;12.143;9.93;11.859;11.425;12.714;12.394;11.184;11.976;11.192;9.771;11.4588;11.642;0.9820415017254165
accumulo;org.apache.accumulo.test.randomwalk.concurrent.CheckBalance;visit(State, Properties);99b6e252d4b68179927ae101f95ab1d72bbb6fe1;322;4.196;3.882;4.124;3.948;3.326;3.934;4.409;3.936;4.042;4.022;3.9819;3.9850000000000003;0.27876730638852015;3.409;4.932;4.177;4.274;5.262;5.061;4.586;5.056;5.557;4.183;4.6497;4.759;0.6444501618520327
